name,threads,size,branch-misses,branch-miss-rate,cache-references,cpu-clock,L1-icache-load-misses,cache-misses,cache-miss-rate,instructions,ipc,cycles,L1-dcache-loads,LLC-load-misses,branch-instructions,page-faults,real-time,single-thread-time,speedup
lu_noncontig,1,512,3206451.6,1.192,12643432.0,165.654,322758.2,292241.0,2.312,414951301.4,1.068,390617756.2,152242913.2,285609.6,54598447.4,738.0,0.4766,0.4766,1.0
lu_noncontig,2,512,3239400.2,1.186,12600967.8,155.974,326919.2,279016.8,2.2144,417459149.8,1.134,369407290.2,152074388.6,270521.8,54763922.4,738.0,0.4436,0.4766,1.0743913435527503
lu_noncontig,4,512,3256979.4,1.19,12499970.2,148.88400000000001,291284.8,269018.8,2.1524,419428264.4,1.186,353262274.0,152251263.0,254570.0,54954974.0,738.0,0.44139999999999996,0.4766,1.079746261893974
lu_noncontig,8,512,3243357.2,1.182,12554596.6,147.756,294978.2,275795.0,2.1950000000000003,419595079.4,1.1960000000000002,350524872.6,150858409.2,271425.8,54670871.0,737.8,0.2928,0.4766,1.6277322404371586
lu_noncontig,16,512,3255762.4,1.192,12503842.6,146.976,293393.6,274346.2,2.1938,417463320.6,1.2,348787581.6,150586293.6,271472.4,54869506.8,738.0,0.2772,0.4766,1.7193362193362194
lu_noncontig,32,512,3249059.0,1.182,12491437.8,146.86399999999998,292048.4,263352.0,2.1082,419329053.4,1.2040000000000002,348561714.4,151016945.4,259134.4,54787496.8,738.0,0.2892,0.4766,1.647994467496542
lu_noncontig,1,2048,3230104.0,1.1400000000000001,12491913.8,147.31,296520.0,279599.8,2.2380000000000004,417290278.6,1.192,349593144.2,150767849.6,278581.2,54851829.6,737.8,0.291,0.291,1.0
lu_noncontig,2,2048,3204607.6,1.186,12494914.4,146.956,276297.2,271593.8,2.174,418774028.2,1.202,348731952.4,150841303.2,267313.2,54826657.4,738.0,0.3382,0.291,0.8604376108811354
lu_noncontig,4,2048,3239056.4,1.1880000000000002,12509278.6,146.56199999999998,292384.2,239978.8,1.918,419951885.0,1.208,347880540.4,150951424.6,230784.8,54703276.8,738.0,0.3002,0.291,0.9693537641572284
lu_noncontig,8,2048,3247537.8,1.182,12524314.6,146.564,293632.0,231559.0,1.8483999999999998,419126767.2,1.2040000000000002,347802977.6,150667480.4,223210.4,54731603.8,738.0,0.30019999999999997,0.291,0.9693537641572285
