IPC,branch-instructions,branch-misses,branch-miss-rate,cache-misses,cache-miss-rate,cache-references,cycles,instructions,cpu-clock,page-faults,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,run_time,thread,size,workload,speedup
0.834,1489686300,37322213.2,2.516,12534522.8,8.1424,154018512.2,11232691850,9390685820,4780.586,135730.8,4298058725,34737595.6,11825137.2,3.2064,1,simmedium,swaptions,1
0.84,1532747324,36568318.4,2.402,12943671.6,8.4356,153590597.8,11382868814,9557974039,4843.14,135685.6,4384330158,33553426.6,12122501.4,1.614,2,simmedium,swaptions,1.9866171
0.82,1487259956,39015036.8,2.624,13241329.4,8.681,152635025.6,11559529511,9480668353,4923.028,135655.6,4352695205,36562119.4,12946202,0.861,4,simmedium,swaptions,3.724041812
0.816,1489803676,37529108.6,2.518,13185367.4,8.5574,154025860.8,11581551457,9441276323,4930.528,135906.6,4334441952,35227749.6,13051829.8,0.4424,8,simmedium,swaptions,7.247739602
0.718,1733057034,42037905.4,2.428,16389164.8,10.012,163416731.2,14500563073,10388070165,6219.684,135981.6,4923708185,39384354.2,16396821.6,0.319,16,simmedium,swaptions,10.05141066
0.492,2304767853,51667287,2.252,24174655,12.7676,189120238.8,25641795701,12448986179,11113.942,136151.4,6221521229,47550237.4,23697498,0.3454,32,simmedium,swaptions,9.283149971
0.92,4417485592,110894907.4,2.51,12694091.6,3.1848,398755832.2,33973944645,31277060310,14356.592,135959.2,13870829474,53350027,12262203.4,12.867,1,simlarge,swaptions,1
0.92,4422542085,104714782.6,2.368,13452147.8,3.4118,394333601.8,34017113249,31313498301,14369.744,136033,13908866208,48528106.6,12154402.8,6.4448,2,simlarge,swaptions,1.996493297
0.914,4573645986,105140342.2,2.298,13504634.6,3.4578,390603808,34654187225,31720204508,14659.488,136187.8,14148398095,48058653.8,12246596.4,3.253,4,simlarge,swaptions,3.955425761
0.868,4766986857,109946618.8,2.308,17353010.6,4.2896,403751032,37627304543,32692340363,15943.956,136083.8,14779603770,51863553.6,16863530.8,1.8522,8,simlarge,swaptions,6.946873988
0.81,5101829082,116134418,2.274,22057801.6,5.2294,421724505.2,41834969465,33895329693,17760.968,136309.4,15543811994,57371466,21245128,1.0602,16,simlarge,swaptions,12.13638936
0.598,5891565767,133581999.6,2.27,34286989.4,7.364,465098840.2,62153829017,36898204396,27061.584,136265.4,17434013593,72295896.8,32545152,0.8704,32,simlarge,swaptions,14.78285846
0.954,914584792.4,15437187,1.706,12121856.4,12.4654,97299517.2,6267947063,5969783393,2696.562,139637.4,2107052796,31448076.8,11876027.8,1.107,1,simsmall,vips,1
0.942,902591442,15385704.4,1.71,14102516.2,14.1932,99382508.6,6211447235,5853668232,2668.684,140746.4,2070274397,31622000.6,13371012.4,0.5688,2,simsmall,vips,1.946202532
0.944,874440933.2,15504111.4,1.776,14162907.2,14.159,100036959.4,6172673408,5828222484,2647.048,141435.4,2053384759,30789145.8,13533248.6,0.3654,4,simsmall,vips,3.02955665
0.9,873588322,15811091,1.814,14312850.6,14.233,100570515.6,6448348609,5803160362,2826.644,143395,2032735614,32055567.6,13996904.2,0.2508,8,simsmall,vips,4.413875598
0.88,872037333.8,16047976.6,1.846,14994650.4,14.4344,103886608.8,6655083458,5851340961,2941.124,147183.2,2078328059,33792724.6,14408410.2,0.1772,16,simsmall,vips,6.24717833
0.818,982815769.4,16974032.6,1.754,15937446,14.4594,110236137,7440208828,6083435418,3336.642,154398.6,2234026528,36044594.2,15585348.6,0.202,32,simsmall,vips,5.48019802
1.212,1783503662,18300700.2,1.03,15477112.4,9.702,159548110.4,11444951343,13884749144,4881.688,146034.6,4160259076,34300760.4,14864805.4,3.289,1,simmedium,vips,1
1.208,1775008960,18502269.8,1.044,15961685.6,9.9082,161073682.2,11493054521,13871948162,4897.29,147104.4,4151675528,34525792.4,14949434,1.674,2,simmedium,vips,1.964755078
1.206,1754074730,18524368,1.058,15610351.4,9.8146,159013696.2,11556840134,13930738373,4923.074,146694.4,4150918172,34701277,15342977.8,0.9754,4,simmedium,vips,3.371949969
1.156,1826028883,18735510.4,1.028,16909648.8,10.384,162838526.2,12165876735,14034812769,5276.046,148775.4,4261643057,34526242.6,15250185.8,0.521,8,simmedium,vips,6.312859885
1.12,1790323330,19543729.4,1.094,17200478.2,10.314,166776818.6,12551031025,14045192073,5531.47,153363.8,4204760599,37127512.6,16907233.8,0.3442,16,simmedium,vips,9.555490994
1.02,1836744262,21080672.4,1.148,19785706.6,11.225,176258340,13917458291,14156682789,6281.41,162382.6,4345906262,40666893.8,18563087,0.3194,32,simmedium,vips,10.29743269
1.406,4110329483,25312008.6,0.616,19361440.2,7.0276,275480114.2,24981134317,35137732317,10603.952,160154.6,9650818369,41683058,19594331.4,8.8474,1,simlarge,vips,1
1.394,4142736647,25591393,0.618,19395868,7.0388,275537325.8,25283758982,35220195882,10735.612,161366.2,9692072589,41706339.2,19526013.8,4.5082,2,simlarge,vips,1.962512755
1.376,4221795834,25541616.4,0.606,20494577.6,7.3412,279162141.6,25708457852,35362118014,10926.65,162109.4,9809373578,41760281.6,19334056.8,2.3296,4,simlarge,vips,3.797819368
1.33,4087468355,26439896,0.646,21791216.6,7.6936,283238350.8,26339398388,35085671050,11290.52,167487.6,9659482945,45050957.4,20912818.4,1.2952,8,simlarge,vips,6.830914145
1.304,4155735544,27162404,0.652,22439652.2,7.8136,287201579.8,27083969440,35289520582,11755.44,168475,9753908279,45685676.6,21681291.4,0.7506,16,simlarge,vips,11.78710365
1.196,4167016231,29958826.4,0.718,26667782.2,8.7948,303209548.6,29832383752,35625378444,13428.324,179338,9906506674,50720707.6,25253991.2,0.5646,32,simlarge,vips,15.670209
0.63,508549282.2,17003064.4,3.36,13600376,15.7036,86629221.2,4208459852,2650969124,1818.03,138423.6,1319196815,33065075.2,12807523,0.2954,1,simsmall,x264,1
0.628,596257047,17099698,2.998,13948983.8,16.1776,86244299.8,4541351313,2865850883,1982.23,140087.2,1446718527,33171563,13168837.4,0.1928,2,simsmall,x264,1.532157676
0.632,559057744.4,16969266.4,3.134,13451649.6,15.4024,87403949,4439348980,2805008882,1919.06,140867,1411085721,33931309,12468126.6,0.2026,4,simsmall,x264,1.45804541
0.622,474056542.4,17223053.2,3.64,13800724.4,15.9728,86433508.4,4136715830,2564229549,1789.158,141426.6,1290997462,33540245.8,12806149.6,0.1366,8,simsmall,x264,2.162518302
0.632,539501798.8,17030965.8,3.22,14167198.8,16.2338,87299221,4333942693,2752662149,1874.646,141438.4,1373953117,32945526,13034330.4,0.1388,16,simsmall,x264,2.128242075
0.628,528579251.8,17045427.4,3.254,13822702.2,15.945,86788992,4419458385,2769975001,1909.474,142114.4,1393980938,34375668.6,13869830.6,0.2586,32,simsmall,x264,1.142304718
